xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta,R_atomic(A)
-3.4124469875,-12.166312577800001,-1.1121903964000008,1,O,16,internal,,,,,,,0.74
-8.9294123765,-4.718748452800002,-7.6372901504,2,O,16,internal,,,,,,,0.74
-7.2892856715,-11.989039184800001,-1.1122027944,3,O,16,internal,,,,,,,0.74
-2.2657413595000007,-4.541475655800001,-7.6373030254000005,4,O,16,internal,,,,,,,0.74
-5.1663804165,0.025711653199998796,-1.1120721404000005,5,O,16,internal,,,,,,,0.74
-10.964942109499999,-6.568120839800001,-7.6371728484000005,6,O,16,internal,,,,,,,0.74
-5.2537555805,-10.1396523738,-1.112333447400001,7,O,16,internal,,,,,,,0.74
-10.770722162499998,-2.6920875338,-7.637433678400001,8,O,16,internal,,,,,,,0.74
-6.2230014915,-13.161803329800001,-11.9381268334,9,O,16,internal,,,,,,,0.74
-10.9649486055,-6.5679711128000005,-5.4130274364,10,O,16,internal,,,,,,,0.74
-8.0643112775,-11.1351569918,-11.9382704804,11,O,16,internal,,,,,,,0.74
-2.2657489894999996,-4.5413249758,-5.4131704874,12,O,16,internal,,,,,,,0.74
-4.1874613875,-11.312430622800001,-11.9382573674,13,O,16,internal,,,,,,,0.74
-8.9294097535,-4.7185987258000015,-5.4131576124,14,O,16,internal,,,,,,,0.74
-6.0287709355,-9.285770299800001,-11.9384010144,15,O,16,internal,,,,,,,0.74
-10.770716797499999,-2.6919378068,-5.413301140400001,16,O,16,internal,,,,,,,0.74
-6.1258902665,-11.223762395800001,-11.5851320334,17,Zn,4,internal,,,,,,,1.37
-10.867836129499999,-4.629928948800002,-5.060032517400001,18,Zn,4,internal,,,,,,,1.37
-5.3508677595,-12.0776933458,-1.4653283663999996,19,Zn,4,internal,,,,,,,1.37
-10.8678320165,-4.630130173800001,-7.9904285974,20,Zn,4,internal,,,,,,,1.37
-7.7891600245,-12.002169253800002,-0.00014415440000092872,21,C,44,internal,,,,,,,0.77
-2.7656145215000008,-4.554605843800001,-6.525243432400001,22,C,44,internal,,,,,,,0.77
-9.278641712499999,-12.041695716800001,-0.00014415440000092872,23,C,44,internal,,,,,,,0.77
-4.2550964465,-4.5941318298,-6.525243432400001,24,C,44,internal,,,,,,,0.77
-6.0023436665,0.38320410019999906,-13.0501996584,25,C,44,internal,,,,,,,0.77
-11.0258899445,-7.064360024800001,-6.5250999044,26,C,44,internal,,,,,,,0.77
-6.1841011165,-1.0956796428,-13.050173558400001,27,C,44,internal,,,,,,,0.77
-0.667136203499999,-8.5432437688,-6.5250736784,28,C,44,internal,,,,,,,0.77
-5.7414550895,-4.6571124818000005,-0.00016990339999978232,29,C,44,internal,,,,,,,0.77
-0.9995079154999995,-11.2509455708,-6.5252696584,30,C,44,internal,,,,,,,0.77
-4.6787471885,-5.456755044800001,-0.00020900440000026776,31,C,44,internal,,,,,,,0.77
-10.477311622499998,-12.050586583800001,-6.5253087584000005,32,C,44,internal,,,,,,,0.77
-4.8636827585,-6.963416459800001,-0.0003139084000007841,33,C,44,internal,,,,,,,0.77
-10.662247430499999,-13.5572496678,-6.525413186400001,34,C,44,internal,,,,,,,0.77
-5.5565381165,-3.1503108768000003,-6.595340000004057e-05,35,C,44,internal,,,,,,,0.77
-0.8145904654999991,-9.7441421768,-6.525165230400001,36,C,44,internal,,,,,,,0.77
-0.8951330294999991,-10.633789422800001,-0.005351216400001135,37,C,44,internal,,,,,,,0.77
-6.4120979425,-3.1862252978000014,-6.5304504934,38,C,44,internal,,,,,,,0.77
-9.8864038105,-10.591633918800001,-0.0002481054000007532,39,C,44,internal,,,,,,,0.77
-4.8628587835,-3.1440700318000014,-6.5253478594,40,C,44,internal,,,,,,,0.77
-10.5966644405,-11.930171253800001,-11.7802325794,41,C,44,internal,,,,,,,0.77
-4.7981009595,-5.3363393568,-5.2551328254000005,42,C,44,internal,,,,,,,0.77
-1.6061573144999997,-11.962053778800001,-11.779240638400001,43,C,44,internal,,,,,,,0.77
-6.3481040115,-5.3682216428,-5.2541410034,44,C,44,internal,,,,,,,0.77
-0.8319921604999994,-12.846158804800002,-1.2582999774,45,C,44,internal,,,,,,,0.77
-6.3489575505,-5.3985947398,-7.783400208400001,46,C,44,internal,,,,,,,0.77
-9.8233876345,-12.7773863698,-1.2750045364000009,47,C,44,internal,,,,,,,0.77
-4.7998423695,-5.3298229008,-7.8001042914,48,C,44,internal,,,,,,,0.77
-2.9125728724999993,-12.153015019800002,-0.00015655240000000958,49,C,44,internal,,,,,,,0.77
-8.429536354500001,-4.705450417800002,-6.525256783400001,50,C,44,internal,,,,,,,0.77
-1.4230966685000002,-12.113496663800001,-0.0002481054000007532,51,C,44,internal,,,,,,,0.77
-6.9400615805,-4.6659330158,-6.5253478594,52,C,44,internal,,,,,,,0.77
-5.1928081625,-9.643260838800002,-0.0003005574000010114,53,C,44,internal,,,,,,,0.77
-10.7097730755,-2.1956971908000003,-6.5254003114,54,C,44,internal,,,,,,,0.77
-5.0110559575,-8.1643861558,-0.00040450740000075314,55,C,44,internal,,,,,,,0.77
-10.5280207505,-0.7168220308000008,-6.5255042624,56,C,44,internal,,,,,,,0.77
-6.1252293705,-11.2237979198,-6.857188374400001,57,C,44,internal,,,,,,,0.77
-0.32666779749999963,-4.629965188800002,-0.3320886204000004,58,C,44,internal,,,,,,,0.77
-5.3514728665,-12.0777190948,-6.193194062400001,59,C,44,internal,,,,,,,0.77
-10.868436228499998,-4.6301559238,-12.7182946514,60,C,44,internal,,,,,,,0.77
-5.3511519545,-12.0778208998,-4.6752215934,61,C,44,internal,,,,,,,0.77
-10.8681175825,-4.6302579668,-11.2003201554,62,C,44,internal,,,,,,,0.77
-6.1255674475,-11.223673465800001,-8.3752919744,63,C,44,internal,,,,,,,0.77
-0.32700444450000066,-4.6298412108,-1.8501922194000002,64,C,44,internal,,,,,,,0.77
-6.1257939455,-11.223630668800002,-9.5852152414,65,N,4,internal,,,,,,,0.74
-0.32723046450000015,-4.629798295800001,-3.0601150104000006,66,N,4,internal,,,,,,,0.74
-5.3508710975,-12.077923300800002,-3.465246350400001,67,N,4,internal,,,,,,,0.74
-10.867837440499999,-4.630359055800001,-9.9903453894,68,N,4,internal,,,,,,,0.74
-3.6300382725,-5.009799363800001,-0.0011092734000008875,69,H,32,internal,,,,,,,0.46
-9.428601753499999,-11.6036323338,-6.5262090274,70,H,32,internal,,,,,,,0.46
-6.7873644945,-10.492840173800001,-6.285680920400001,71,H,32,internal,,,,,,,0.46
-1.7638197055000002,-3.0452760488000012,-12.810781330400001,72,H,32,internal,,,,,,,0.46
