xcoord,ycoord,zcoord,atom_num,mat_org,matnum_org,surf_flag,num_neighbor,nb_vector_x,nb_vector_y,nb_vector_z,nb_vector_sum,polar_delta
4.046093941,3.939941168,0.0,1,Si,120,2NN,12,1.8998644314490312,-3.108507639722715,16.62813839939502,17.022552430042175,89.2976332690655
4.046093941,3.939941168,2.92499876,2,Si,120,internal,10,1.0490389459886826,-6.485826809595062,2.7760963480655185,7.132541135388272,136.7617623465001
4.046093941,3.939941168,5.850279331,3,Si,120,internal,10,0.744820112236293,-6.7292069719548255,-0.0012330721227738484,6.7703016913180445,145.74568605271844
4.046093941,3.939941168,8.775278091,4,Si,120,internal,10,0.2711407705762733,-6.50413548531093,-0.14859631786004956,6.511480368889329,145.74568657463556
4.046093941,3.939941168,11.700277328,5,Si,120,internal,10,1.0758979924315741,-4.465388357987179,-9.759626018418919,10.786452136692827,142.15382014422227
-1.389042139,5.47399044,1.46249938,6,Si,120,internal,10,4.40505971498347,-1.3008150545739114,9.759628448651847,10.786427506570972,142.15330376746
-1.389042139,5.47399044,4.387498379,7,Si,120,internal,10,5.768276933195525,-3.0171439244330553,0.14980974007358247,6.511422210009099,145.74265990012756
-1.389042139,5.47399044,7.31277895,8,Si,120,internal,10,6.200078897170612,-2.7193753236747478,-0.00031514663884169014,6.770227513272276,145.7426604389769
-1.389042139,5.47399044,10.23777771,9,Si,120,internal,10,6.141479780943154,-2.3343782988350226,-2.7757825128033478,7.132465527444934,136.75531669133565
-1.389042139,5.47399044,13.162775993,10,Si,120,2NN,12,3.6420105606267694,0.09116298928831928,-16.62811812863686,17.02253988434848,89.29768276165368
1.604986191,5.099965096,1.46249938,11,Si,120,internal,10,-3.94810547402367,-3.7686078079878245,9.257625400769347,10.746793461559234,142.15462867356217
1.604986191,5.099965096,4.387498379,12,Si,120,internal,10,-6.735018182327975,-4.695044017741035,0.14977354117256722,8.211354355917766,145.7406758850108
1.604986191,5.099965096,7.31277895,13,Si,120,internal,10,-6.693043951649004,-5.217879714878902,-0.0002789681079446993,8.48664280711008,145.74067642269313
1.604986191,5.099965096,10.23777771,14,Si,120,internal,10,-6.3303421275034575,-5.35964430044791,-2.775782450053535,8.746655743116564,136.755815050439
1.604986191,5.099965096,13.162775993,15,Si,120,2NN,12,-2.361035105301636,-3.803747982832247,-16.126118976251824,16.736029956999847,89.29765605034015
2.225163937,1.534049511,0.0,16,Si,120,2NN,12,2.3610336623209647,3.8037439583608257,16.12612187701275,16.73603163380281,89.29765561548624
2.225163937,1.534049511,2.92499876,17,Si,120,internal,10,6.330227683578649,5.359611550045538,2.7760601924604615,8.7466409944327,136.76163907832603
2.225163937,1.534049511,5.850279331,18,Si,120,internal,10,6.693110467881145,5.217840319811044,-0.0011968954799745912,8.486671124231501,145.7407021624219
2.225163937,1.534049511,8.775278091,19,Si,120,internal,10,6.735047632049249,4.695100873631509,-0.1485963892326364,8.211389633091377,145.74070268129077
2.225163937,1.534049511,11.700277328,20,Si,120,internal,10,3.9481143193599006,3.768598840262628,-9.25760747706411,10.746778126348232,142.1542147024365
5.219192028,1.160023689,0.0,21,Si,120,2NN,12,-4.474599458815237,0.14286550781697627,16.126099828491675,16.735995535032643,89.29768078460526
5.219192028,1.160023689,2.92499876,22,Si,120,internal,10,-7.806579088468907,2.8023513788806125,2.776060199039761,8.746562784541524,136.7611116777908
5.219192028,1.160023689,5.850279331,23,Si,120,internal,10,-7.865242933020159,3.1875027080374165,-0.0011968972607461215,8.486590678342656,145.74264501838056
5.219192028,1.160023689,8.775278091,24,Si,120,internal,10,-7.433505844584246,3.485191007497968,-0.14859637729667993,8.211312098779253,145.74264553839495
5.219192028,1.160023689,11.700277328,25,Si,120,internal,10,-5.237650842186921,1.5348545835972627,-9.25758920756249,10.746707536423813,142.1528820686306
-0.215943813,2.6940732,1.46249938,26,Si,120,internal,10,-1.2895279611878807,5.303436353295895,9.257623103292117,10.746762537562361,142.1542264708361
-0.215943813,2.6940732,4.387498379,27,Si,120,internal,10,-0.6983433826133053,8.180189358140344,0.14977358048353162,8.21131009891133,145.74569111773707
-0.215943813,2.6940732,7.31277895,28,Si,120,internal,10,-1.1721195515472738,8.405256476668484,-0.00027896838984631245,8.486589465711196,145.74569165856798
-0.215943813,2.6940732,10.23777771,29,Si,120,internal,10,-1.4762422904460677,8.162030091915742,-2.775782478363349,8.746599046979833,136.7559612234384
-0.215943813,2.6940732,13.162775993,30,Si,120,2NN,12,-2.113485723769758,3.9465638013304822,-16.126114507094876,16.73600181759331,89.29763505144683
11.706393242,3.939941168,0.0,31,Si,120,2NN,12,2.113487349193515,-3.9465655563525024,16.126117101684603,16.736004936753382,89.29763333515331
11.706393242,3.939941168,2.92499876,32,Si,120,internal,10,1.4762782825826604,-8.161922533032348,2.7760601360776227,8.746592872768556,136.76176793828955
11.706393242,3.939941168,5.850279331,33,Si,120,internal,10,1.1720595184519293,-8.405302690057376,-0.0011968957168092542,8.486627024845552,145.7456891355866
11.706393242,3.939941168,8.775278091,34,Si,120,internal,10,0.6983853551020793,-8.180251518558366,-0.14859637909856183,8.211354205913828,145.7456896575019
11.706393242,3.939941168,11.700277328,35,Si,120,internal,10,1.289521793631906,-5.303446309018812,-9.257604964370985,10.746751085106755,142.15381101148043
6.271257401,5.47399044,1.46249938,36,Si,120,internal,10,5.237651939227676,-1.5348437355267137,9.257607240759826,10.74672205619694,142.15330904125548
6.271257401,5.47399044,4.387498379,37,Si,120,internal,10,7.43343893630123,-3.485195539123629,0.1497735433430466,8.211274838898765,145.74265823579205
